Description,corrected_description
"\n Cidra(Spanish pronunciation:[sia]) is atownandmunicipalityofPuerto Ricolocated in the central region of the island, north ofCayey; south ofComeroandAguas Buenas; east ofAibonitoandBarranquitas; and west ofCaguas. Cidra is spread over 12 barrios andCidra Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Cidra is known as""El Pueblo de la Eterna Primavera""(""Town of the Eternal Spring"") and""El Pueblo de la Paloma Sabanera""(""Town of the Plain Pigeon"").\n","Cidra (Spanish pronunciation: [sia]) is a town and municipality of Puerto Rico located in the central region of the island, north of Cayey; south of Comerío and Aguas Buenas; east of Aibonito and Barranquitas; and west of Caguas. Cidra is spread over 12 barrios and Cidra Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Cidra is known as ""El Pueblo de la Eterna Primavera"" (""Town of the Eternal Spring"") and ""El Pueblo de la Paloma Sabanera"" (""Town of the Plain Pigeon"")."
"\n Coamo(Spanish pronunciation:[koamo],locally[kwamo]) is atownandmunicipalityfounded in 1579 in the south-central region ofPuerto Rico, located north ofSanta Isabel; south ofOrocovisandBarranquitas; east ofVillalbaandJuana Daz; and west ofAibonitoandSalinas. The municipality of Coamo is spread over 10 barrios andCoamo Pueblo the town or downtown area and administrative center of the city. The Coamo municipality is also aMicropolitan Statistical Areaand as such is part of thePonce-Yauco-Coamo Combined Statistical Area.\n The town of Coamo and parts of its barrios are nestled in avalleyabout 20 miles (32 km) east of the town ofPonce(about 40 minutes by car). It was namedSan Blas Illescas de Coamoby Spanish settlers in 1579.Saint Blaise(San Blas) was designated by the Catholic Church as the patron saint of the town, and so it remains presently.Illescasis the Spanish town where some of the town founders originated (nowadays inToledo province, Castile-La Mancha, Spain).\n","Coamo (Spanish pronunciation: [koamo], locally [kwamo]) is a town and municipality founded in 1579 in the south-central region of Puerto Rico, located north of Santa Isabel; south of Orocovis and Barranquitas; east of Villalba and Juana Díaz; and west of Aibonito and Salinas. The municipality of Coamo is spread over 10 barrios and Coamo Pueblo, the town or downtown area and administrative center of the city. The Coamo municipality is also a Micropolitan Statistical Area and as such is part of the Ponce-Yauco-Coamo Combined Statistical Area. The town of Coamo and parts of its barrios are nestled in a valley about 20 miles (32 km) east of the town of Ponce (about 40 minutes by car). It was named San Blas Illescas de Coamo by Spanish settlers in 1579. Saint Blaise (San Blas) was designated by the Catholic Church as the patron saint of the town, and so it remains presently. Illescas is the Spanish town where some of the town founders originated (nowadays in Toledo province, Castile-La Mancha, Spain)."
"\n Comero(Spanish pronunciation:[komei.o]) is atownandmunicipalityofPuerto Ricoin the center-eastern region of island, north ofAibonito; south ofNaranjitoandBayamn; east ofBarranquitas; and west ofCidraandAguas Buenas. Comero is spread over 7 barrios andComero Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Comero was founded on June 12, 1826. Originally namedSabana del Palmar, but later changed toComero.[2]\n","Comero (Spanish pronunciation: [komei.o]) is a town and municipality of Puerto Rico in the center-eastern region of the island, north of Aibonito; south of Naranjito and Bayamón; east of Barranquitas; and west of Cidra and Aguas Buenas. Comero is spread over 7 barrios and Comero Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Comero was founded on June 12, 1826. Originally named Sabana del Palmar, it was later changed to Comero."
"\n Corozal(Spanish pronunciation:[koosal]) is atownandmunicipalityofPuerto Ricolocated in the central-eastern region, north ofOrocovisandBarranquitas; south ofVega Alta; southwest ofToa Alta; east ofMorovisand Orocovis; and west ofNaranjito. Corozal is spread over 12 barrios andCorozal Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n The city name is derived from the ""palma de corozo"" (grugru palm,Acrocomia media) which abounds in theCordillera Centralzone of the Island.\n","Corozal (Spanish pronunciation: [koosal]) is a town and municipality of Puerto Rico located in the central-eastern region, north of Orocovis and Barranquitas; south of Vega Alta; southwest of Toa Alta; east of Morovis and Orocovis; and west of Naranjito. Corozal is spread over 12 barrios and Corozal Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area.  
The city name is derived from the ""palma de corozo"" (grugru palm, Acrocomia media) which abounds in the Cordillera Central zone of the Island."
"\n Isla Culebra(Spanish pronunciation:[kulea],Snake Island) is an island,townandmunicipalityofPuerto Rico, and together withVieques, it is geographically part of theSpanish Virgin Islands. It is located approximately 17 miles (27 km) east of the Puerto Rican mainland, 12 miles (19 km) west ofSt. Thomasand 9 miles (14 km) north ofVieques. Culebra is spread over 5 barrios andCulebra Pueblo (Dewey), the main town and the administrative center of the island. Residents of the island are known as culebrenses. With a population of 1,792 as of the 2020 Census, it is Puerto Rico\'s least populous municipality.[3]\n Originally calledIsla del PasajeandIsla de San Ildefonso, Culebra is also known asIsla Chiquita(""Little Island""),Cuna del Sol Borincano(""Cradle of the Puerto Rican Sun"") andltima Virgen(""Last Virgin"", due to its position at the end of theVirgin Islandsarchipelago).\n","Isla Culebra (Spanish pronunciation: [kulea], Snake Island) is an island, town and municipality of Puerto Rico, and together with Vieques, it is geographically part of the Spanish Virgin Islands. It is located approximately 17 miles (27 km) east of the Puerto Rican mainland, 12 miles (19 km) west of St. Thomas and 9 miles (14 km) north of Vieques. Culebra is spread over 5 barrios and Culebra Pueblo (Dewey), the main town and the administrative center of the island. Residents of the island are known as culebrenses. With a population of 1,792 as of the 2020 Census, it is Puerto Rico's least populous municipality. Originally called Isla del Pasaje and Isla de San Ildefonso, Culebra is also known as Isla Chiquita (""Little Island""), Cuna del Sol Borincano (""Cradle of the Puerto Rican Sun"") and Última Virgen (""Last Virgin"", due to its position at the end of the Virgin Islands archipelago)."
"\n Dorado(Spanish pronunciation:[doao]) is atownandmunicipalityon the northern coast ofPuerto Rico, 15 miles (24 km) west ofSan Juanand is located in the northern region of the island, bordering the Atlantic Ocean, north ofToa Alta, east ofVega Alta, and west ofToa Baja. Dorado is subdivided into fivebarriosandDorado Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area. During the early 18th century, there were already mentions of a""Sitio de Dorado""(meaning a golden place) in some San Juan registers.[2]Since the beginning of the Spanish colonial period and until 1831,Doradoexisted as a barrio (orward) of the town ofToa Baja. Over several years, the ward grew and established its own town center called the ""new pueblo"" to differentiate itself from Toa Baja, which became known as the ""old pueblo."" Over several years, the barrios that currently make up Dorado grew and the people of the ""new pueblo"" wanted to separate themselves from Toa Baja.\n On November 22, 1842, Jacinto Lpez Martnez, the Sergeant at Arms for the ward of Dorado, petitioned the SpanishGovernor of Puerto Rico, Santiago Mndez Vigo, to establish the municipality of Dorado. The governor authorized the founding of the town pending the construction of public works, including an administrative building and a church near the town square. In 1848, the construction of the public works were completed and Lpez Martnez became the first mayor of Dorado. Puerto Rico was ceded by Spain in the aftermath of theSpanishAmerican Warunder the terms of theTreaty of Paris of 1898and became a territory of the United States. In 1902, four years after theSpanishAmerican War, Dorado was again appended to Toa Baja. But in 1905 it regained its status as a separate town. Nowadays, Dorado has upscale neighborhoods and a small downtown area with aplaza(maintown square), as other Puerto Rican municipalities. The town\'s patron saint isAnthony of Padua, and patron saint celebrations are held at the plaza every year on June 13.\n","Dorado (Spanish pronunciation: [doao]) is a town and municipality on the northern coast of Puerto Rico, 15 miles (24 km) west of San Juan and is located in the northern region of the island, bordering the Atlantic Ocean, north of Toa Alta, east of Vega Alta, and west of Toa Baja. Dorado is subdivided into five barrios and Dorado Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. During the early 18th century, there were already mentions of a ""Sitio de Dorado"" (meaning a golden place) in some San Juan registers. Since the beginning of the Spanish colonial period and until 1831, Dorado existed as a barrio (or ward) of the town of Toa Baja. Over several years, the ward grew and established its own town center called the ""new pueblo"" to differentiate itself from Toa Baja, which became known as the ""old pueblo."" Over several years, the barrios that currently make up Dorado grew and the people of the ""new pueblo"" wanted to separate themselves from Toa Baja. On November 22, 1842, Jacinto López Martínez, the Sergeant at Arms for the ward of Dorado, petitioned the Spanish Governor of Puerto Rico, Santiago Méndez Vigo, to establish the municipality of Dorado. The governor authorized the founding of the town pending the construction of public works, including an administrative building and a church near the town square. In 1848, the construction of the public works was completed and López Martínez became the first mayor of Dorado. Puerto Rico was ceded by Spain in the aftermath of the Spanish-American War under the terms of the Treaty of Paris of 1898 and became a territory of the United States. In 1902, four years after the Spanish-American War, Dorado was again appended to Toa Baja. But in 1905 it regained its status as a separate town. Nowadays, Dorado has upscale neighborhoods and a small downtown area with a plaza (main town square), as other Puerto Rican municipalities. The town's patron saint is Anthony of Padua, and patron saint celebrations are held at the plaza every year on June 13."
"\n Fajardo(Spanish pronunciation:[faxao]) is atownand amunicipalitypart of theSan Juan-Caguas-Fajardo Combined Statistical AreainPuerto Rico.\n Fajardo is the hub of much of the recreational boating in Puerto Rico and a popular launching port toCulebra,Vieques, and theU.S.andBritish Virgin Islands. It is also home to the largest marina in the Caribbean, calledPuerto del Rey. The town contains various hotels and inns.\n","Fajardo (Spanish pronunciation: [faxao]) is a town and a municipality part of the San Juan-Caguas-Fajardo Combined Statistical Area in Puerto Rico. Fajardo is the hub of much of the recreational boating in Puerto Rico and a popular launching port to Culebra, Vieques, and the U.S. and British Virgin Islands. It is also home to the largest marina in the Caribbean, called Puerto del Rey. The town contains various hotels and inns."
"\n Florida(Spanish pronunciation:[floia]) is a town andmunicipalityofPuerto Ricolocated in thekarst regionnorth ofCiales, south ofBarceloneta, east ofArecibo, and west ofManat. Florida is not like other municipalities of Puerto Rico with multiple subdivisions called barrios. It has one barrio called Florida Adentro and two other subdivisions: Florida Zona Urbana and Pajonalcomunidad. It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Florida was founded first as abarrioofBarcelonetain 1881 when a priest named Father Carrin, the mayor of Barceloneta, and other dignitaries visited a tract of land of almost 4 acres. They decided to establish a new barrio. The owner of the land, Don Manuel Cintrn, granted the land while he retained a piece of it. The barrio was first calledFlorida Adentro.[2]\n","Florida (Spanish pronunciation: [floˈɾiða]) is a town and municipality of Puerto Rico located in the karst region north of Ciales, south of Barceloneta, east of Arecibo, and west of Manatí. Florida is not like other municipalities of Puerto Rico with multiple subdivisions called barrios. It has one barrio called Florida Adentro and two other subdivisions: Florida Zona Urbana and Pajonal comunidad. It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Florida was founded first as a barrio of Barceloneta in 1881 when a priest named Father Carrin, the mayor of Barceloneta, and other dignitaries visited a tract of land of almost 4 acres. They decided to establish a new barrio. The owner of the land, Don Manuel Cintrón, granted the land while he retained a piece of it. The barrio was first called Florida Adentro."
"\n Guayama(Spanish:[waama],locally[waama]), officially theAutonomous Municipality of Guayama(Spanish:Municipio Autnomo de Guayama), is acityandmunicipalityon theCaribbeancoast ofPuerto Rico. As of the2020 U.S. Census, the city had a population of 36,614. It is the center of theGuayama metropolitan areawith a population of 68,442 in 2020.\n The original name of the city isSan Antonio de Padua de Guayama, named after the saintAnthony of Padua; as with other settlement names in Puerto Rico, the name was eventually shortened toGuayama.Guayamacomes from the name of aTanocacique(chief), who was leader of the tribes in the southeastern coast of Puerto Rico. TheTanowordGuayama(wayama) is said to mean ""great place"" or ""big open space"".[6]Another legend tells that the name of the town comes from the name of a woman called Juana Guayama who is said to have been an early owner of the land around Guayama and granter of the land in modern-dayMachetewhere the town was later founded.[7]\n","Guayama (Spanish: [waama], locally [waama]), officially the Autonomous Municipality of Guayama (Spanish: Municipio Autónomo de Guayama), is a city and municipality on the Caribbean coast of Puerto Rico. As of the 2020 U.S. Census, the city had a population of 36,614. It is the center of the Guayama metropolitan area with a population of 68,442 in 2020. The original name of the city is San Antonio de Padua de Guayama, named after the saint Anthony of Padua; as with other settlement names in Puerto Rico, the name was eventually shortened to Guayama. Guayama comes from the name of a Taino cacique (chief), who was the leader of the tribes on the southeastern coast of Puerto Rico. The Taino word Guayama (wayama) is said to mean ""great place"" or ""big open space."" Another legend tells that the name of the town comes from the name of a woman called Juana Guayama, who is said to have been an early owner of the land around Guayama and granter of the land in modern-day Machete where the town was later founded."
"\n Guayanilla(Spanish pronunciation:[waania],locally[waania]) is atownandmunicipalityofPuerto Ricolocated on the southern coast of the island, bordering theCaribbean Sea, south ofAdjuntas, east ofYauco; and west ofPeuelasand about 12 miles (19 km) west ofPonce. Guayanilla is spread over 16 barrios andGuayanilla Pueblo(the downtown area and the administrative center of the city). It is part of theYauco Metropolitan Statistical Area.\n Guayanilla was founded by Puerto Ricancriollos. The original name wasGuadianillain memory of a river and town of the same name inSpain. However, it was changed toGuayanillato resemble a native word in theTanolanguage. The name Guayanilla is derived from a combination ofGuayniaandSanta Maria de Guadianilla.\n","Guayanilla (Spanish pronunciation: [waania], locally [waania]) is a town and municipality of Puerto Rico located on the southern coast of the island, bordering the Caribbean Sea, south of Adjuntas, east of Yauco, and west of Peñuelas, and about 12 miles (19 km) west of Ponce. Guayanilla is spread over 16 barrios and Guayanilla Pueblo (the downtown area and the administrative center of the city). It is part of the Yauco Metropolitan Statistical Area. Guayanilla was founded by Puerto Rican criollos. The original name was Guadianilla in memory of a river and town of the same name in Spain. However, it was changed to Guayanilla to resemble a native word in the Taino language. The name Guayanilla is derived from a combination of Guaynia and Santa Maria de Guadianilla."
"\n Guaynabo(Spanish pronunciation:[wajnao],locally[wajnao]) is acity,suburbofSan Juanandmunicipalityin the northern part ofPuerto Rico, located in the northern coast of the island, north ofAguas Buenas, south ofCatao, east ofBayamn, and west ofSan Juan. Guaynabo is spread over 9 barrios andGuaynabo Pueblo(the downtown area and the administrative center of the suburb). Guaynabo is considered, along with its neighbors San Juan and the municipalities ofBayamn,Carolina,Cataño,Trujillo Alto, andToa Baja to be part of theSan Juan metropolitan area. It is also part of the largerSan Juan-Caguas-Guaynabo Metropolitan Statistical Area, (the largestMSAin Puerto Rico).\n The municipality has a land area of 27.13 square miles (70.3 km2) and a population of 89,780 as of the2020 census. The municipality is known for being an affluent suburb of San Juan and for its formerIrishheritage. The studios ofWAPA-TVis located in Guaynabo.\n","Guaynabo (Spanish pronunciation: [wajnao], locally [wajnao]) is a city, suburb of San Juan, and municipality in the northern part of Puerto Rico, located on the northern coast of the island, north of Aguas Buenas, south of Cataño, east of Bayamón, and west of San Juan. Guaynabo is spread over 9 barrios and Guaynabo Pueblo (the downtown area and the administrative center of the suburb). Guaynabo is considered, along with its neighbors San Juan and the municipalities of Bayamón, Carolina, Cataño, Trujillo Alto, and Toa Baja, to be part of the San Juan metropolitan area. It is also part of the larger San Juan-Caguas-Guaynabo Metropolitan Statistical Area (the largest MSA in Puerto Rico). The municipality has a land area of 27.13 square miles (70.3 km²) and a population of 89,780 as of the 2020 census. The municipality is known for being an affluent suburb of San Juan and for its former Irish heritage. The studios of WAPA-TV are located in Guaynabo."
"\n Gurabo(Spanish pronunciation:[uao]) is atownandmunicipalityin easternPuerto Rico. It is located in the central eastern region, north ofSan Lorenzo; south ofTrujillo Alto; east ofCaguas; and west ofCarolinaandJuncos. Gurabo is spread over 9 barrios andGurabo Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Gurabo\'s history dates as far back as the 17th century, when it was actually part ofCaguas. Then, the area was known asBurabo. By 1700, transportation, medical and economic troubles were crippling the population of theBuraboarea; traveling to Caguas\' center for business and medical help was not easy and took hours. This led many ofBurabo\'s citizens to seek autonomy for the area.\n","Gurabo (Spanish pronunciation: [uao]) is a town and municipality in eastern Puerto Rico. It is located in the central eastern region, north of San Lorenzo; south of Trujillo Alto; east of Caguas; and west of Carolina and Juncos. Gurabo is spread over 9 barrios and Gurabo Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Gurabo's history dates as far back as the 17th century when it was actually part of Caguas. Then, the area was known as Burabo. By 1700, transportation, medical, and economic troubles were crippling the population of the Burabo area; traveling to Caguas' center for business and medical help was not easy and took hours. This led many of Burabo's citizens to seek autonomy for the area."
"\n Gunica(Spanish pronunciation:[wanika],locally[wanika]) is atownandmunicipalityin southernPuerto Rico, bordering the Caribbean Sea, south ofSabana Grande, east ofLajas, and west ofYauco. It is part of theYauco metropolitan statistical area.\n Gunica barrio-pueblo, also known asPueblo de Gunica, is the downtown of the municipality. Gunica\'s population in 2020 was 13,787 people. Gunica is located on a deeply indentedharborof the same name. The harbor resembles a tropicalfjord, narrow and bordered by rugged hills, barely a quarter-mile wide, but about two miles (3.2 km) from mouth to the town. The town is about 100 miles (160 km) and over two hours\' driving distance fromSan Juan, and about 20 miles (30 km) west ofPonce.\n","Guánica (Spanish pronunciation: [wanika], locally [wanika]) is a town and municipality in southern Puerto Rico, bordering the Caribbean Sea, south of Sabana Grande, east of Lajas, and west of Yauco. It is part of the Yauco metropolitan statistical area. Guánica barrio-pueblo, also known as Pueblo de Guánica, is the downtown of the municipality. Guánica's population in 2020 was 13,787 people. Guánica is located on a deeply indented harbor of the same name. The harbor resembles a tropical fjord, narrow and bordered by rugged hills, barely a quarter-mile wide, but about two miles (3.2 km) from mouth to the town. The town is about 100 miles (160 km) and over two hours' driving distance from San Juan, and about 20 miles (30 km) west of Ponce."
"\n Hatillo(Spanish pronunciation:[atio]) is atownandmunicipalitylocated inPuerto Rico\'s north coast, bordered by theAtlantic Oceanto the north,LaresandUtuadoto the south,Camuyto the west, andAreciboto the east. According to the 2000 US Census Hatillo is spread over nine barrios andHatillo Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Agustn Ruiz Miranda, aCanarianimmigrant, founded Hatillo on approximately tencuerdas(acuerdais 0.97 acre, also called a Spanish acre) in 1823. Miranda granted this land on the condition that public buildings be erected and wide streets be built, and that the remaining land be sold or used for homes.[2]\n","Hatillo (Spanish pronunciation: [aˈtio]) is a town and municipality located on Puerto Rico's north coast, bordered by the Atlantic Ocean to the north, Lares and Utuado to the south, Camuy to the west, and Arecibo to the east. According to the 2000 US Census, Hatillo is spread over nine barrios and Hatillo Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Agustín Ruiz Miranda, a Canarian immigrant, founded Hatillo on approximately ten cuerdas (a cuerda is 0.97 acre, also called a Spanish acre) in 1823. Miranda granted this land on the condition that public buildings be erected and wide streets be built, and that the remaining land be sold or used for homes."
"\n Hormigueros(Spanish pronunciation:[omieos],locally[omieo]) is atownandmunicipalityofPuerto Ricolocated in the western region of the island, northeast ofCabo Rojo; northwest ofSan Germn; and south ofMayagez. Hormigueros is spread over 5 barrios andHormigueros Pueblo(the downtown area and the administrative center). It is part of theMayagez Metropolitan Statistical Area.\n The region of what is now Hormigueros belonged to theGuayniaregion, located on the southwest portion of Puerto Rico. Archaeological findings have established that there were tribes already settled in the region around 820 BC.\n","Hormigueros (Spanish pronunciation: [omieos], locally [omieo]) is a town and municipality of Puerto Rico located in the western region of the island, northeast of Cabo Rojo; northwest of San Germán; and south of Mayagüez. Hormigueros is spread over 5 barrios and Hormigueros Pueblo (the downtown area and the administrative center). It is part of the Mayagüez Metropolitan Statistical Area. The region of what is now Hormigueros belonged to the Guayanía region, located on the southwest portion of Puerto Rico. Archaeological findings have established that there were tribes already settled in the region around 820 BC."
"\n Humacao(Spanish pronunciation:[umakao]) is acityandmunicipalityinPuerto Ricolocated in the eastern coast of the island, north ofYabucoa; south ofNaguabo; east ofLas Piedras; and west ofVieques Passage. Humacao is spread over 12 barrios andHumacao Pueblo(the downtown area and the administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n The region of what is now Humacao belonged to theTanoregion of Humaka, which covered a portion of the southeast coast of Puerto Rico.[3]The region was led by caciqueJumacao(also referred to as ""Macao"").[4]The Tano settlement was located on the shores of what is called now theHumacao River. It is believed that the Tano chief Jumacao was the first ""cacique"" to learn to read and write in Spanish, since he wrote a letter to theKing of SpainCharles Icomplaining about how theGovernor of the islandwasn\'t complying with their peace agreement. In the letter, Jumacao argued that their people were virtually prisoners of Spain. It is said that King Charles was so moved by the letter that he ordered the Governor to obey the terms of the treaty.[5][6][self-published source]\n","Humacao (Spanish pronunciation: [umakao]) is a city and municipality in Puerto Rico located on the eastern coast of the island, north of Yabucoa; south of Naguabo; east of Las Piedras; and west of Vieques Passage. Humacao is spread over 12 barrios and Humacao Pueblo (the downtown area and the administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. The region of what is now Humacao belonged to the Tano region of Humacao, which covered a portion of the southeast coast of Puerto Rico. The region was led by cacique Jumacao (also referred to as ""Macao""). The Tano settlement was located on the shores of what is now called the Humacao River. It is believed that the Tano chief Jumacao was the first ""cacique"" to learn to read and write in Spanish, since he wrote a letter to the King of Spain, Charles I, complaining about how the Governor of the island wasn't complying with their peace agreement. In the letter, Jumacao argued that their people were virtually prisoners of Spain. It is said that King Charles was so moved by the letter that he ordered the Governor to obey the terms of the treaty."
"\n Isabela(Spanish pronunciation:[isaela]) is atownandmunicipalityofPuerto Ricolocated in the north-western region of the island, north ofSan Sebastin; west ofQuebradillas; and east ofAguadillaandMoca. It is named in honor of QueenIsabella I of Castile. Isabela is spread over 13 barrios andIsabela Pueblo, which is the downtown area and administrative center. It is a principal part of theAguadilla-Isabela-San Sebastin Metropolitan Statistical Area.\n The town is known as theJardn del Noroeste(""Garden of the Northwest""), because of the manywild flowersin its landscape. It is also known asEl Pueblo de los Quesitos de Hoja(""Town of Leaf Cheeses"") for its production of a typical fresh white cheese wrapped in banana plant leaves, reputed to be the best.[citation needed]It is also known as laCiudad de los Gallitosor the ""City of the Fighting Cocks."" Since the 18th century,cock fightingwas very common throughout the island, and the town became well known for the quality of its fighting cocks and special breeding and training techniques used by its people.[2]\n","Isabela (Spanish pronunciation: [isaela]) is a town and municipality of Puerto Rico located in the northwestern region of the island, north of San Sebastián; west of Quebradillas; and east of Aguadilla and Moca. It is named in honor of Queen Isabella I of Castile. Isabela is spread over 13 barrios and Isabela Pueblo, which is the downtown area and administrative center. It is a principal part of the Aguadilla-Isabela-San Sebastián Metropolitan Statistical Area. The town is known as the Jardín del Noroeste (""Garden of the Northwest"") because of the many wild flowers in its landscape. It is also known as El Pueblo de los Quesitos de Hoja (""Town of Leaf Cheeses"") for its production of a typical fresh white cheese wrapped in banana plant leaves, reputed to be the best.[citation needed] It is also known as la Ciudad de los Gallitos or the ""City of the Fighting Cocks."" Since the 18th century, cock fighting was very common throughout the island, and the town became well known for the quality of its fighting cocks and special breeding and training techniques used by its people.[2]"
"\n Jayuya(Spanish pronunciation:[xaua]) is atownandmunicipalityofPuerto Ricolocated in themountainous center regionof the island, north ofPonce; east ofUtuado; and west ofCiales. Jayuya is spread over 10barriosandJayuya Pueblo[3][4](the downtown and administrative center of the city). It is the principal city of the JayuyaMicropolitan Statistical Area.\n Named after theTanotribal leader,Hayuya, Jayuya is known for its skilledwood carvers. Among its monuments are the statue ofNemesio Canalesand the bust of Hayuya, both by the Puerto Rican sculptorToms Batista.\n","Jayuya (Spanish pronunciation: [xaua]) is a town and municipality of Puerto Rico located in the mountainous central region of the island, north of Ponce; east of Utuado; and west of Ciales. Jayuya is spread over 10 barrios and Jayuya Pueblo (the downtown and administrative center of the city). It is the principal city of the Jayuya Micropolitan Statistical Area. Named after the Taino tribal leader, Hayuya, Jayuya is known for its skilled wood carvers. Among its monuments are the statue of Nemesio Canales and the bust of Hayuya, both by the Puerto Rican sculptor Tomás Batista."
"\n Juana Daz(Spanish pronunciation:[xwanai.as]) is atownandmunicipalityofPuerto Ricolocated on the southern coast of the island, south ofJayuya,Ciales,OrocovisandVillalba; east ofPonce; and west ofCoamoandSanta Isabeland theCaribbean Seato the south. Juana Daz is spread over 13 barrios andJuana Diaz Pueblo(the downtown area and the administrative center of the city). It is part of thePonce Metropolitan Statistical Area.\n Juana Daz is known as ""La Ciudad del Mav"" (Mav City).Mabiis a fermented Tano beverage made out from the bark of the mavi treeColubrina elliptica.\n","Juana Díaz (Spanish pronunciation: [xwanai.as]) is a town and municipality of Puerto Rico located on the southern coast of the island, south of Jayuya, Ciales, Orocovis and Villalba; east of Ponce; and west of Coamo and Santa Isabel and the Caribbean Sea to the south. Juana Díaz is spread over 13 barrios and Juana Díaz Pueblo (the downtown area and the administrative center of the city). It is part of the Ponce Metropolitan Statistical Area. Juana Díaz is known as ""La Ciudad del Maví"" (Maví City). Maví is a fermented Taino beverage made from the bark of the mavi tree Colubrina elliptica."
"\n Juncos(Spanish pronunciation:[xukos]) is atownand one of the 78municipalities of Puerto Rico. It is located in the eastern central region of the island to the west of theCaguasValley, south ofCanvanasandCarolina; southeast ofGurabo; east ofSan Lorenzo; and west ofLas Piedras. Juncos is spread over 9 barrios andJuncos barrio-pueblo(the downtown area and administrative center of the city). It is part of theSan Juan-Caguas-Guaynabo Metropolitan Statistical Area.\n Juncos was founded on the request ofToms Pizarroon August 2, 1797, having previously been a village which evolved from a small ranch, theHatillo de los Juncos. This ranch was part of theHato del Valenciano, which gave its name to theRo Valencianowhich bisects the city before joining theRo Guraboto the north of the settlement.\n","Juncos (Spanish pronunciation: [xukos]) is a town and one of the 78 municipalities of Puerto Rico. It is located in the eastern central region of the island to the west of the Caguas Valley, south of Canóvanas and Carolina; southeast of Gurabo; east of San Lorenzo; and west of Las Piedras. Juncos is spread over 9 barrios and Juncos barrio-pueblo (the downtown area and administrative center of the city). It is part of the San Juan-Caguas-Guaynabo Metropolitan Statistical Area. Juncos was founded on the request of Tomás Pizarro on August 2, 1797, having previously been a village which evolved from a small ranch, the Hatillo de los Juncos. This ranch was part of the Hato del Valenciano, which gave its name to the Río Valenciano which bisects the city before joining the Río Gurabo to the north of the settlement."
"\n Lajas(Spanish pronunciation:[laxas]) is atownandmunicipalityofPuerto Ricolocated in theLajas Valleyin southwesternPuerto Rico, on the southern coast of the island, bordering theCaribbean Sea, south ofSan GermnandSabana Grande; east ofCabo Rojo; and west ofGunica. Lajas is spread over 11 barrios plusLajas Pueblo(the downtown area and the administrative center of the city). It is part of theSan Germn-Cabo Rojo Metropolitan Statistical Area.\n Located in theLajas Valley, the town was founded in 1883 by theXuetaTeodoro Jcome Pagn. Xuetes (Chuetas) wereMajorcanJews(SephardicCatalan Jews). Some families changed their names fromJcometo the Castilian formSantiago.Jcomeis theMallorquinform ofJames(Ia\'akov).CatalanJews fromMajorcawere part of the early settlers in the south ofBorikn(Puerto Rico).\n","Lajas (Spanish pronunciation: [laxas]) is a town and municipality of Puerto Rico located in the Lajas Valley in southwestern Puerto Rico, on the southern coast of the island, bordering the Caribbean Sea, south of San Germán and Sabana Grande; east of Cabo Rojo; and west of Guánica. Lajas is spread over 11 barrios plus Lajas Pueblo (the downtown area and the administrative center of the city). It is part of the San Germán-Cabo Rojo Metropolitan Statistical Area. Located in the Lajas Valley, the town was founded in 1883 by the Xueta Teodoro Jcome Pagn. Xuetes (Chuetas) were Majorcan Jews (Sephardic Catalan Jews). Some families changed their names from Jcome to the Castilian form Santiago. Jcome is the Mallorquin form of James (Ia'akov). Catalan Jews from Majorca were part of the early settlers in the south of Borikén (Puerto Rico)."
