name,category,description,coordinates,source_file,corrected_description
Jayuya barrio-pueblo,Landmark,"['Jayuya barrio-pueblois abarrioand the administrative center (seat) ofJayuya, a municipality of Puerto Rico. Its population in 2010 was 1,222.[1][4][5][6]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\\n\\n', 'The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\\\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a prop\\xc3\\xb3sito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\\nn\\xc3\\xbamero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\\n']","{'latitude': None, 'longitude': None}",jayuya_barrio-pueblo.txt,"['Jayuya barrio-pueblo is a barrio and the administrative center (seat) of Jayuya, a municipality of Puerto Rico. Its population in 2010 was 1,222.[1][4][5][6]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year.[7][8]\\n\\n', 'The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish: grandeza proporcionada al número de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\\n']"
Jes\xc3\xbas Izcoa Moure Bridge,Landmark,"['TheJes\\xc3\\xbas Izcoa Moure Bridge(Officially: Puente Atirantado de Naranjito, Jes\\xc3\\xbas Izcoa Moure) is aCable-stayed bridgethat connects the cities ofToa AltaandNaranjito, inPuerto Ricoby thePuerto Rico Highway 5.\\n', 'It was named afterJesus Izcoa Moure, as he was the first state legislator to be a native of Naranjito, and his signature is stamped on theConstitution of the Commonwealth of Puerto Rico.[1]\\n', 'The bridge crosses theRio La Platabetween the two municipalities. According to data collected, more than 80,000 residents of Puerto Rico use the bridge. It is the first Cable-stayed bridge in Puerto Rico and the Caribbean.[2][3]Puerto Rico is an area of moderate to high seismic activity. The bridge was designed using anAASHTOresponse spectrum (Soil Profile Type I and an Acceleration Coefficient of 0.20g). All major bridge members were required to remain elastic for the design level earthquake and ductile detailing in accordance with AASHTO Seismic Performance Category C was provided in all potential plastic hinge regions.\\n']","{'latitude': 18.324315, 'longitude': -66.208656}",jesús_izcoa_moure_bridge.txt,"['The Jesús Izcoa Moure Bridge (Officially: Puente Atirantado de Naranjito, Jesús Izcoa Moure) is a cable-stayed bridge that connects the cities of Toa Alta and Naranjito, in Puerto Rico by the Puerto Rico Highway 5.\\n', 'It was named after Jesús Izcoa Moure, as he was the first state legislator to be a native of Naranjito, and his signature is stamped on the Constitution of the Commonwealth of Puerto Rico.[1]\\n', 'The bridge crosses the Río La Plata between the two municipalities. According to data collected, more than 80,000 residents of Puerto Rico use the bridge. It is the first cable-stayed bridge in Puerto Rico and the Caribbean.[2][3] Puerto Rico is an area of moderate to high seismic activity. The bridge was designed using an AASHTO response spectrum (Soil Profile Type I and an Acceleration Coefficient of 0.20g). All major bridge members were required to remain elastic for the design level earthquake, and ductile detailing in accordance with AASHTO Seismic Performance Category C was provided in all potential plastic hinge regions.\\n']"
Jes\xc3\xbas T. Pi\xc3\xb1ero House,Landmark,"['TheJes\\xc3\\xbas T. Pi\\xc3\\xb1ero House and Museum(Spanish:Casa Museo Jes\\xc3\\xbas T. Pi\\xc3\\xb1ero), often called the Pink House (Casa Rosada), is a historic house located alongPR-3just outside ofCan\\xc3\\xb3vanas Puebloin the municipality ofCan\\xc3\\xb3vanas, Puerto Rico. \\n', 'The house was built in 1931 for politician and then businessmanJes\\xc3\\xbas T. Pi\\xc3\\xb1ero, the last United States-appointed and first Puerto Rican-borngovernor of Puerto Ricoin 1946. He and his wife raised their two children here, although the house was abandoned in 1952 following his sudden death.[1]The house remained abandoned for a long period and was left to ruin due to vandalism in the 1980s and damages duringHurricane Georgesin 1998, until it was acquired by theInstitute of Puerto Rican Culture(Instituto de Cultura Puertorrique\\xc3\\xb1a) and some members of the Pi\\xc3\\xb1ero family who sponsored its renovation and preservation. The house today is a museum dedicated to the life of Jes\\xc3\\xbas T. Pi\\xc3\\xb1ero and to the everyday life of the time between the 1930s and 1950s.[2]The house was reopened to visitors in 2021 and guided tours are available.[3][4]\\n', '\\n']","{'latitude': None, 'longitude': None}",jesús_t._piñero_house.txt,"['The Jesús T. Piñero House and Museum (Spanish: Casa Museo Jesús T. Piñero), often called the Pink House (Casa Rosada), is a historic house located along PR-3 just outside of Canóvanas Pueblo in the municipality of Canóvanas, Puerto Rico. \n', 'The house was built in 1931 for politician and then businessman Jesús T. Piñero, the last United States-appointed and first Puerto Rican-born governor of Puerto Rico in 1946. He and his wife raised their two children here, although the house was abandoned in 1952 following his sudden death. [1] The house remained abandoned for a long period and was left to ruin due to vandalism in the 1980s and damages during Hurricane Georges in 1998, until it was acquired by the Institute of Puerto Rican Culture (Instituto de Cultura Puertorriqueña) and some members of the Piñero family who sponsored its renovation and preservation. The house today is a museum dedicated to the life of Jesús T. Piñero and to the everyday life of the time between the 1930s and 1950s. [2] The house was reopened to visitors in 2021 and guided tours are available. [3][4] \n', '\n']"
Jobos Beach,Landmark,"['Jobos BeachorPlaya Jobosis abeachfacing theAtlantic Oceanlocated on thePR-466street ofIsabelain the northwest ofPuerto Rico.[1]While popular, the beach is dangerous and signs warning tourists of dangerous currents were installed in early 2021.[2]\\n', 'Jobos Beach is known as a world-class surf spot[3][4]and a good place toparty.[5]In February 2013, the beach hosted theRip Curl Pro, a world tour surfing competition.[6]Jobos is also a popular beach for windsurfing.[7]Nearby, also in Isabela, isPozo de Jacinto, a pit cave steeped in folklore.[8]\\n', 'The area near Jobos Beach suffered heavy damage fromHurricane Mariaon September 20, 2017.[9]TheTito Puente Amphitheatrereopened in mid-December 2017 with a concert by Circo, and other artists withCorona Fest x Nuestra Playas(Corona Fest for our Beaches) to raise funds for the clean-up at Jobos and other beaches in the area.[10]\\n']","{'latitude': None, 'longitude': None}",jobos_beach.txt,"['Jobos Beach or Playa Jobos is a beach facing the Atlantic Ocean located on the PR-466 street of Isabela in the northwest of Puerto Rico. While popular, the beach is dangerous, and signs warning tourists of dangerous currents were installed in early 2021. ', 'Jobos Beach is known as a world-class surf spot and a good place to party. In February 2013, the beach hosted the Rip Curl Pro, a world tour surfing competition. Jobos is also a popular beach for windsurfing. Nearby, also in Isabela, is Pozo de Jacinto, a pit cave steeped in folklore. ', 'The area near Jobos Beach suffered heavy damage from Hurricane Maria on September 20, 2017. The Tito Puente Amphitheater reopened in mid-December 2017 with a concert by Circo and other artists with Corona Fest x Nuestra Playas (Corona Fest for our Beaches) to raise funds for the clean-up at Jobos and other beaches in the area. ']"
Jose V. Toledo Federal Building and United States Courthouse,Landmark,"['TheJose V. Toledo Federal Building and United States Courthouseis a historicpost officeandcourthouselocated atOld San Juan,Puerto Rico. It is a courthouse for theUnited States District Court for the District of Puerto Rico. It is also the site fororal argumentbefore theUnited States Court of Appeals for the First Circuit, when that court sits in Puerto Rico.\\n', ""The courthouse was designed to provide suitable accommodations for important government offices and to demonstrate the commitment of the United States to the Island of Puerto Rico. From the initial settlement of San Juan, this harbor side site has been critical to the city\\'s defense and economic development. Initially, portions of the site contained a Spanish fortification, theBastion de San Justo del Muelle, which was built in 1639 (shortly after the city was invaded by the Dutch) and remained in place until 1897. The southern portion of the site contained a building that was likely a Spanish custom house constructed during the 1830s.[2]\\n"", 'In 1898, the U.S. Government took possession of Puerto Rico and established a presence on the island. When the United States established a governance structure for Puerto Rico in 1900, the need for public buildings became apparent.[2]\\n']","{'latitude': None, 'longitude': None}",jose_v._toledo_federal_building_and_united_states_courthouse.txt,"['The Jose V. Toledo Federal Building and United States Courthouse is a historic post office and courthouse located at Old San Juan, Puerto Rico. It is a courthouse for the United States District Court for the District of Puerto Rico. It is also the site for oral argument before the United States Court of Appeals for the First Circuit, when that court sits in Puerto Rico.\\n', ""The courthouse was designed to provide suitable accommodations for important government offices and to demonstrate the commitment of the United States to the Island of Puerto Rico. From the initial settlement of San Juan, this harbor side site has been critical to the city's defense and economic development. Initially, portions of the site contained a Spanish fortification, the Bastion de San Justo del Muelle, which was built in 1639 (shortly after the city was invaded by the Dutch) and remained in place until 1897. The southern portion of the site contained a building that was likely a Spanish custom house constructed during the 1830s.[2]\\n"", 'In 1898, the U.S. Government took possession of Puerto Rico and established a presence on the island. When the United States established a governance structure for Puerto Rico in 1900, the need for public buildings became apparent.[2]\\n']"
Jos\xc3\xa9 Celso Barbosa,Landmark,"['\\n', 'Jos\\xc3\\xa9 Celso Barbosa Alcala(July 27, 1857 \\xe2\\x80\\x93 September 21, 1921) was aPuerto Ricanphysician,sociologistand political leader. Known as the father of thestatehood movement in Puerto Rico,[1]Barbosa was the first Puerto Rican, and one of the first persons of African descent to earn a medical degree in theUnited States.[2]\\n', 'After his return to the island in 1880, Barbosa made many contributions to medicine and public health. He initiated an early form of health insurance, encouraging employers to pay a fee to cover future needs of their employees. In 1900 Barbosa was among the first five Puerto Rican leaders appointed to the Executive Cabinet under GovernorCharles H. Allen, in the first civilian government organized by the United States. He served in the Cabinet until 1917. From 1917 to 1921, Barbosa served in thefirst elected Puerto Rican Senate.\\n']","{'latitude': None, 'longitude': None}",josé_celso_barbosa.txt,"['\n', 'José Celso Barbosa Alcalá (July 27, 1857 – September 21, 1921) was a Puerto Rican physician, sociologist, and political leader. Known as the father of the statehood movement in Puerto Rico,[1] Barbosa was the first Puerto Rican, and one of the first persons of African descent, to earn a medical degree in the United States.[2]\n', 'After his return to the island in 1880, Barbosa made many contributions to medicine and public health. He initiated an early form of health insurance, encouraging employers to pay a fee to cover the future needs of their employees. In 1900, Barbosa was among the first five Puerto Rican leaders appointed to the Executive Cabinet under Governor Charles H. Allen, in the first civilian government organized by the United States. He served in the Cabinet until 1917. From 1917 to 1921, Barbosa served in the first elected Puerto Rican Senate.\n']"
Jos\xc3\xa9 Miguel Agrelot Coliseum,Landmark,"['TheColiseo de Puerto Rico Jos\\xc3\\xa9 Miguel Agrelot(English:Jos\\xc3\\xa9 Miguel Agrelot Coliseum of Puerto Rico) is the biggest indoorarenainPuerto Ricodedicated to entertainment. It is located at theGolden MileofSan Juan, the island capital. It is usually referred by Puerto Ricans as theCholiseoorCholi, which is aportmanteauof the words ""Coliseo"" and ""Cholito"", in reference toDon Cholito, one ofJos\\xc3\\xa9 Miguel Agrelot\\\'s characters and Agrelot\\\'s own adopted nickname. It has consistently been ranked among the highest ticket-selling venues globally.[3][4]\\n', 'The coliseum opened on September 4, 2004 after a prolonged construction financed by theGovernment of Puerto Rico. This venue is owned by the Puerto Rico Convention District Authority, apublic corporation of Puerto Rico, and managed byASM Global.[1][5]It can accommodate up to 18,500 spectators and can be reached by theHato Rey Stationof theTren Urbanosystem.\\n', ""The arena hosted the firstWWEpay-per-view event outside the continental United States, Canada and the United Kingdom, since SummerSlam 1992 whenNew Year\\'s Revolutionwas held there in 2005. On May 26, 2011, the arena was ranked 8th on the Top 50 Arena Venues of the world and second of the West Hemisphere in worldwide ticket sales byPollstar. As of May 2013, the arena has received over 5 million spectators, hosting more than 600 events with a gross ticket revenue around $200 million.\\n""]","{'latitude': -66.06139166666667, 'longitude': 18.42771666666667}",josé_miguel_agrelot_coliseum.txt,"['The Coliseo de Puerto Rico José Miguel Agrelot (English: José Miguel Agrelot Coliseum of Puerto Rico) is the biggest indoor arena in Puerto Rico dedicated to entertainment. It is located at the Golden Mile of San Juan, the island capital. It is usually referred to by Puerto Ricans as the Choliseo or Choli, which is a portmanteau of the words ""Coliseo"" and ""Cholito,"" in reference to Don Cholito, one of José Miguel Agrelot\'s characters and Agrelot\'s own adopted nickname. It has consistently been ranked among the highest ticket-selling venues globally.[3][4]\\n', 'The coliseum opened on September 4, 2004, after a prolonged construction financed by the Government of Puerto Rico. This venue is owned by the Puerto Rico Convention District Authority, a public corporation of Puerto Rico, and managed by ASM Global.[1][5] It can accommodate up to 18,500 spectators and can be reached by the Hato Rey Station of the Tren Urbano system.\\n', ""The arena hosted the first WWE pay-per-view event outside the continental United States, Canada, and the United Kingdom, since SummerSlam 1992 when New Year's Revolution was held there in 2005. On May 26, 2011, the arena was ranked 8th on the Top 50 Arena Venues of the world and second in the Western Hemisphere in worldwide ticket sales by Pollstar. As of May 2013, the arena has received over 5 million spectators, hosting more than 600 events with a gross ticket revenue around $200 million.\\n""]"
"Joyuda, Puerto Rico",Landmark,"['Joyudais a quiet coastal fishing village in westernPuerto Rico, located between the cities ofMayag\\xc3\\xbcezandCabo Rojo, known for its seafood and snorkeling and seafood restaurants.[1][2][3]\\n', 'Though Joyuda is easy to access from Mayag\\xc3\\xbcez, the neighborhood belongs to thebarrioMiraderoin the municipality of Cabo Rojo. A chain of fishing hamlets, mini-docks and wooden homes raised above water on stilts, occupies the mile-long portion of the road P.R. 102 that borders the sea, just along the Joyuda Cove (Spanish:Ensenada Joyuda). At its north, runs theGuanajibo River, also known as Pirate River for ""stealing the waters of rivers that ran south."" Closer yet lies the bioluminescent[4]saltwaterJoyuda Lagoon, a natural preserve and a bird sanctuary with an extensive mangrove forest and more than 40 sorts of fish. Slightly to the west, off the coast and toward the Mona Passage is another natural preserve. Within a stone\\\'s throw, emergesMice Cay(Spanish:Cayo Ratones), aBrown pelicannesting grounds, an islet covered with Australian pines and bordered by sandy beaches.\\n', 'Joyuda should be one of the few coastal settlements in western Puerto Rico to forgo claims of Christopher Columbus landing. Though the nearby path, ""Camino el Indio"" (en: Indian Way), may elicit visions of a rich indigenous past, little surfaces, in fact, from colonial sources about Joyuda, but until the 19th century. With the sharp population growth that followed the Spanish American wars of independence and the resulting migration of loyalist creoles to the island, Joyuda made a definitive appearance on the map. Even foreign publications refer to 19th century Joyuda as a fishing center, flanked by sugarcane fields, watered by the Guanajibo watershed. One Spanish source describes the Mouse Cay as larger and nearer to the coast than what is today. Pineapple and sugarcane grew on it, which explains its earlier name of Cay of Pineapples (Spanish:Cayo Pi\\xc3\\xb1ero).\\n']","{'latitude': None, 'longitude': None}","joyuda,_puerto_rico.txt","['Joyuda is a quiet coastal fishing village in western Puerto Rico, located between the cities of Mayagüez and Cabo Rojo, known for its seafood and snorkeling and seafood restaurants.[1][2][3]\n', 'Though Joyuda is easy to access from Mayagüez, the neighborhood belongs to the barrio Miradero in the municipality of Cabo Rojo. A chain of fishing hamlets, mini-docks, and wooden homes raised above water on stilts occupies the mile-long portion of the road P.R. 102 that borders the sea, just along the Joyuda Cove (Spanish: Ensenada Joyuda). At its north runs the Guanajibo River, also known as Pirate River for ""stealing the waters of rivers that ran south."" Closer yet lies the bioluminescent[4] saltwater Joyuda Lagoon, a natural preserve and a bird sanctuary with an extensive mangrove forest and more than 40 sorts of fish. Slightly to the west, off the coast and toward the Mona Passage is another natural preserve. Within a stone's throw emerges Mice Cay (Spanish: Cayo Ratones), a Brown pelican nesting ground, an islet covered with Australian pines and bordered by sandy beaches.\n', 'Joyuda should be one of the few coastal settlements in western Puerto Rico to forgo claims of Christopher Columbus landing. Though the nearby path, ""Camino el Indio"" (en: Indian Way), may elicit visions of a rich indigenous past, little surfaces, in fact, from colonial sources about Joyuda until the 19th century. With the sharp population growth that followed the Spanish American wars of independence and the resulting migration of loyalist creoles to the island, Joyuda made a definitive appearance on the map. Even foreign publications refer to 19th-century Joyuda as a fishing center, flanked by sugarcane fields, watered by the Guanajibo watershed. One Spanish source describes the Mouse Cay as larger and nearer to the coast than what is today. Pineapple and sugarcane grew on it, which explains its earlier name of Cay of Pineapples (Spanish: Cayo Piñero).\n']"
Joyuda Lagoon,Landmark,"['Laguna Joyuda,orAlbufera de Joyuda,[1]is a naturalreservoirlocated in the municipality ofCabo RojoinPuerto Rico.\\n', 'The lagoon is one of only two natural reservoirs in the island ofPuerto Rico(the other beingTortuguero Lagoon), and is home to an ample variety of species.\\n', 'The lagoon is connected to theoceanthrough a small channel on the south of it, and is frequently used forfishing. \\n']","{'latitude': None, 'longitude': None}",joyuda_lagoon.txt,"['Laguna Joyuda, or Albufera de Joyuda, is a natural reservoir located in the municipality of Cabo Rojo in Puerto Rico.\\n', 'The lagoon is one of only two natural reservoirs on the island of Puerto Rico (the other being Tortuguero Lagoon), and is home to an ample variety of species.\\n', 'The lagoon is connected to the ocean through a small channel on the south of it and is frequently used for fishing. \\n']"
Juana D\xc3\xadaz barrio-pueblo,Landmark,"['Juana D\\xc3\\xadaz barrio-pueblois abarrioand the administrative center (seat) ofJuana D\\xc3\\xadaz, a municipality of Puerto Rico. Its population in 2010 was 3,977.[1][4][5][6]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\\n\\n', 'The central plaza, or square, is a place in the barrio-pueblo for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\\\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a prop\\xc3\\xb3sito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\\nn\\xc3\\xbamero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\\n']","{'latitude': None, 'longitude': None}",juana_díaz_barrio-pueblo.txt,"['Juana Díaz barrio-pueblo is the administrative center (seat) of Juana Díaz, a municipality of Puerto Rico. Its population in 2010 was 3,977.[1][4][5][6]\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year.[7][8]\n\n', 'The central plaza, or square, is a place in the barrio-pueblo for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish: grandeza proporcionada al número de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n']"
Juan Boria,Landmark,"['Juan Boria(February 17, 1905 – May 29, 1995) also known as theNegro Verse Pharaoh, was aPuerto Ricanpoet known for hisAfro-Caribbeanpoetry.[1]\\n', 'Juan Boria Romero was born on February 17, 1906, inDorado, Puerto Ricoto Juan Boria Nev\\xc3\\xa1rez, a sugar factory engineer, and Anselma Romero Sempri, a housewife. He was of predominant African ancestry and of partial Italian ancestry through his mother. He took his elementary studies in Dorado. After that, he followed studies in the nearby town ofToa Baja. During weekends, he worked as amasonandcarpenterto pay for his studies. He finished his studies atCentral High SchoolinSanturcein 1923.[2]\\n', ""At this time, his family moved to the town ofCata\\xc3\\xb1oand he started studies in theUniversity of Puerto RicoinR\\xc3\\xado Piedras. He received hisbachelor\\'s degreeas a teacher ofindustrial arts,drawing, andcarpentry. After several years working in several places, he started working as a teacher in 1937 at a school inSan Germ\\xc3\\xa1n. From there, he was transferred to another school inCan\\xc3\\xb3vanas.\\n""]","{'latitude': None, 'longitude': None}",juan_boria.txt,"['Juan Boria (February 17, 1905 – May 29, 1995), also known as the Negro Verse Pharaoh, was a Puerto Rican poet known for his Afro-Caribbean poetry.[1]\\n', 'Juan Boria Romero was born on February 17, 1906, in Dorado, Puerto Rico to Juan Boria Nevárez, a sugar factory engineer, and Anselma Romero Sempri, a housewife. He was of predominant African ancestry and of partial Italian ancestry through his mother. He took his elementary studies in Dorado. After that, he followed studies in the nearby town of Toa Baja. During weekends, he worked as a mason and carpenter to pay for his studies. He finished his studies at Central High School in Santurce in 1923.[2]\\n', ""At this time, his family moved to the town of Cataño and he started studies in the University of Puerto Rico in Río Piedras. He received his bachelor's degree as a teacher of industrial arts, drawing, and carpentry. After several years working in several places, he started working as a teacher in 1937 at a school in San Germán. From there, he was transferred to another school in Canóvanas.\\n""]"
Juan Ram\xc3\xb3n Loubriel Stadium,Landmark,"['Juan Ram\\xc3\\xb3n Loubriel Stadium(Spanish:Estadio Juan Ram\\xc3\\xb3n Loubriel) is asoccer-specific stadiumlocated inBayam\\xc3\\xb3n, Puerto Rico. It is best known as the former home of thePuerto Rico Islandersof theNorth American Soccer Leagueand current home of theBayam\\xc3\\xb3n FCof theLiga Puerto Rico. The stadium can seat up to 12,500 people. It has easy access the metro station known as ""Deportivo Station.""\\n', 'Built in 1973 as abaseballstadium with a capacity of 12,500, it was home to theVaqueros de Bayam\\xc3\\xb3nuntil 2003 when the team became defunct.\\n', 'In 2003 with the Vaqueros folding, the stadium seemed doomed to be relegated to a youth stadium or to demolition, but late that same year the stadium became home of thePuerto Rico Islanders. Its ""L"" shaped stands were not suited for the sport and it originally had an awkward feel to it since the stand behind the goal angles away from the pitch.\\n']","{'latitude': -66.15085, 'longitude': 18.393425}",juan_ramón_loubriel_stadium.txt,"['Juan Ramón Loubriel Stadium (Spanish: Estadio Juan Ramón Loubriel) is a soccer-specific stadium located in Bayamón, Puerto Rico. It is best known as the former home of the Puerto Rico Islanders of the North American Soccer League and current home of the Bayamón FC of the Liga Puerto Rico. The stadium can seat up to 12,500 people. It has easy access to the metro station known as ""Deportivo Station.""\\n', 'Built in 1973 as a baseball stadium with a capacity of 12,500, it was home to the Vaqueros de Bayamón until 2003 when the team became defunct.\\n', 'In 2003, with the Vaqueros folding, the stadium seemed doomed to be relegated to a youth stadium or to demolition, but late that same year the stadium became home to the Puerto Rico Islanders. Its ""L"" shaped stands were not suited for the sport and it originally had an awkward feel to it since the stand behind the goal angles away from the pitch.\\n']"
Julia de Burgos,Landmark,"['\\n', ""Julia Constanza Burgos Garc\\xc3\\xada(February 17, 1914 \\xe2\\x80\\x93 July 6, 1953), also known as Julia de Burgos, was aPuerto Ricanpoet, journalist, and teacher.[1]As an advocate ofPuerto Rican independence, she served as Secretary General of the Daughters of Freedom, the women\\'s branch of thePuerto Rican Nationalist Party.[2]She was also acivil rightsactivistfor women and African andAfro-Caribbeanwriters.\\n"", 'Julia de Burgos (birth name:Julia Constanza Burgos Garc\\xc3\\xada) was born to Francisco Burgos Hans, a farmer, and Paula Garc\\xc3\\xada de Burgos.[3]Her father was a member of thePuerto Rico National Guardand had a farm near the town ofCarolina, Puerto Rico, where she was born. The family later moved to thebarrioofSanta Cruzof the same city. She was the oldest of thirteen children. Six of her younger siblings died of malnutrition. Her first work wasR\\xc3\\xado Grande de Lo\\xc3\\xadza.[2]\\n']","{'latitude': None, 'longitude': None}",julia_de_burgos.txt,"[""Julia Constanza Burgos García (February 17, 1914 – July 6, 1953), also known as Julia de Burgos, was a Puerto Rican poet, journalist, and teacher. As an advocate of Puerto Rican independence, she served as Secretary General of the Daughters of Freedom, the women's branch of the Puerto Rican Nationalist Party. She was also a civil rights activist for women and African and Afro-Caribbean writers. Julia de Burgos (birth name: Julia Constanza Burgos García) was born to Francisco Burgos Hans, a farmer, and Paula García de Burgos. Her father was a member of the Puerto Rico National Guard and had a farm near the town of Carolina, Puerto Rico, where she was born. The family later moved to the barrio of Santa Cruz of the same city. She was the oldest of thirteen children. Six of her younger siblings died of malnutrition. Her first work was Río Grande de Loíza.""]"
Julio Enrique Monagas Park,Landmark,"[""Julio Enrique Monagas Park(Spanish:Parque Julio Enrique Monagas, sometimes referred to asJulio Enrique Monagas National ParkorParque nacional Julio Enrique Monagas) is anurbanstate parkandrecreational arealocated inBayam\\xc3\\xb3n, Puerto Rico.[1]The park is named afterJulio Enrique Monagas, the first director of Puerto Rico\\'s Public Recreation and Parks Commission and also considered the father of theOlympic movementin Puerto Rico. Before its establishment in 1993, the area was a military installation during theSecond World War, and many of the bunkers and ammunition warehouses are still preserved within the area. The park today contains several hiking trails, paths formountain biking, playgrounds for children, gazebos for picnics, and areas for horse-riding. Climbing is also allowed in some of thelimestonecliffs, locally known asmogotes.[2]\\n"", 'The park is managed by theCompa\\xc3\\xb1\\xc3\\xada de Parques Nacionales de Puerto Rico, which serves as the department of parks and recreation of the territory, although everyday management is done by theCentro Ambiental Santa Ana, established byFrank H. Wadsworthin 2006.[3][4]\\n', '\\n']","{'latitude': None, 'longitude': None}",julio_enrique_monagas_park.txt,"Julio Enrique Monagas Park (Spanish: Parque Julio Enrique Monagas, sometimes referred to as Julio Enrique Monagas National Park or Parque Nacional Julio Enrique Monagas) is an urban state park and recreational area located in Bayamón, Puerto Rico. The park is named after Julio Enrique Monagas, the first director of Puerto Rico's Public Recreation and Parks Commission and also considered the father of the Olympic movement in Puerto Rico. Before its establishment in 1993, the area was a military installation during the Second World War, and many of the bunkers and ammunition warehouses are still preserved within the area. The park today contains several hiking trails, paths for mountain biking, playgrounds for children, gazebos for picnics, and areas for horse riding. Climbing is also allowed in some of the limestone cliffs, locally known as mogotes. The park is managed by the Compañía de Parques Nacionales de Puerto Rico, which serves as the department of parks and recreation of the territory, although everyday management is done by the Centro Ambiental Santa Ana, established by Frank H. Wadsworth in 2006."
Juncos barrio-pueblo,Landmark,"['Juncos barrio-pueblois abarrioand the administrative center (seat) ofJuncos, a municipality of Puerto Rico. Its population in 2010 was 2,464.[1][4][5][6]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\\n', 'The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\\\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a prop\\xc3\\xb3sito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\\nn\\xc3\\xbamero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\\n']","{'latitude': None, 'longitude': None}",juncos_barrio-pueblo.txt,"['Juncos barrio-pueblo is the administrative center (seat) of Juncos, a municipality of Puerto Rico. Its population in 2010 was 2,464.[1][4][5][6]\\n', 'As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year.[7][8]\\n', 'The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósit o para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish: grandeza proporcionada al número de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\\n']"
